belong,job-title,name,main-type,owner,sub-type,details,value,actual-price,remarks,date
방송통신위원회 한국방송광고진흥공사,사장,이백만,건물,본인,아파트,서울특별시 강남구 대치동 은마아파트 건물 42.22m2,858000,580000,,2022-01-28
방송통신위원회 한국방송광고진흥공사,사장,이백만,건물,배우자,아파트,서울특별시 강남구 대치동 은마아파트 건물 42.22m2,858000,580000,,2022-01-28
방송통신위원회 한국방송광고진흥공사,사장,이백만,채권,배우자,아파트 (전세(임차)권,서울특별시 송파구 문정동 올림픽훼밀리타운 건물 94.00m2,750000,,,2022-01-28
방송통신위원회 한국방송광고진흥공사,사장,이백만,채권,장남,아파트 (전세(임차)권,경기도 화성시 능동 동탄숲속마을모아미래도1단지 건물 60.49m2,217350,,,2022-01-28
방송통신위원회 한국방송광고진흥공사,사장,이백만,자동차 등,배우자,자동차,"2018년식 i30 배기량(1,355cc)",10000,26000,,2022-01-28
방송통신위원회 한국방송광고진흥공사,사장,이백만,자동차 등,장남,자동차,"2010년식 스포티지 배기량(1,950cc)",5000,9500,,2022-01-28
방송통신위원회 한국방송광고진흥공사,사장,이백만,예금,본인,,"미래에셋대우(주) 1, 삼성생명보험 19,694, 신한금융투자(주) 268,041, 신한라이프(오렌지라이프) 54,773, 신한은행 136,524",479033,,,2022-01-28
방송통신위원회 한국방송광고진흥공사,사장,이백만,예금,배우자,,"(주)KEB하나은행 24,239, KB증권 1,335, 교보생명보험 22,030, 삼성증권 2, 푸르덴셜생명보험 33,153, 한국교직원공제회 154,947, 한화생명보험주식회사 81,556, 현대해상화재보험 12,000",329262,,,2022-01-28
방송통신위원회 한국방송광고진흥공사,사장,이백만,예금,장남,,"NH투자증권 5,941, 국민은행 7,811, 대신증권 2, 신한은행 2, 씨티은행 4,426, 우리은행 9,989, 유안타증권 1,877, 중소기업은행 10,841, 케이뱅크 16,033, 한국카카오은행(주) 6,626, 한국투자증권 2",63550,,,2022-01-28
방송통신위원회 한국방송광고진흥공사,사장,이백만,예금,장녀,,"(주)카카오페이증권 150, NH투자증권 50, 국민은행 3,327, 신한은행 21,336, 우리은행 2, 한국투자증권 4,449",29314,,,2022-01-28
방송통신위원회 한국방송광고진흥공사,사장,이백만,증권,본인,상장주식,"삼성메디슨 9,000주, 이오테크닉스 5,056주",553694,,,2022-01-28
방송통신위원회 한국방송광고진흥공사,사장,이백만,증권,본인,비상장주식,"대한특수금속 2,000주, 주식회사 에이치투홀딩스 20,000주",14098,,,2022-01-28
방송통신위원회 한국방송광고진흥공사,사장,이백만,증권,배우자,상장주식,"삼성메디슨 2,000주, 유화증권 1,615주",15232,,,2022-01-28
방송통신위원회 한국방송광고진흥공사,사장,이백만,증권,배우자,비상장주식,"인스밸리 1,000주",5000,,,2022-01-28
방송통신위원회 한국방송광고진흥공사,사장,이백만,증권,장남,상장주식,"LG디스플레이 230주, LG화학보통주 4주, OCI 80주, OCI보통주 8주,SNT모티브보통주 40주, 금호타이어보통주 200주, 넷마블 250주,신성이엔지보통주 370주, 알톤스포츠 888주, 에스케이하이닉스보통주 50주, 하나금융지주 140주, 한국조선해양보통주 2주, 한화솔루션 900주",106802,,,2022-01-28
방송통신위원회 한국방송광고진흥공사,사장,이백만,증권,장녀,상장주식,"DGB금융지주 100주, SK 3주, SK하이닉스 40주, VANGUARDSHORT-TERMTREASURYETF 78주, 대한유화 37주, 세방전지 25주, 아남전자 6,882주, 에이프로 344주, 유한양행 198주, 하나제약 180주, 한화시스템 353주",68522,,,2022-01-28
방송통신위원회 한국방송광고진흥공사,사장,이백만,채권,장녀,금융채,QV CMA 원화RP,50,,,2022-01-28
방송통신위원회 한국방송광고진흥공사,사장,이백만,채무,장녀,금융채무,"신한은행 38,953",38953,,,2022-01-28
방송통신위원회 한국방송광고진흥공사,사장,이백만,회원권,본인,콘도미니엄,소노호텔&리조트,47400,,,2022-01-28
